questions,answer,category
Apa itu Fluent Chatbot?,Fluent Chatbot adalah program komputer yang dirancang untuk memberikan informasi dan bantuan terkait Fakultas Ilmu Komputer Universitas Brawijaya (FILKOM UB).,Tentang chatbot dan sapaan
Apa tujuan utama dari Fluent Chatbot?,Tujuan utama Fluent Chatbot adalah memberikan dukungan informasi kepada pengguna terkait berbagai aspek kehidupan akademis dan non-akademis di FILKOM UB.,Tentang chatbot dan sapaan
Bagaimana cara mengakses Fluent Chatbot?,Anda dapat mengakses Fluent Chatbot dengan mengunjungi situs web FILKOM UB atau menggunakan platform chat yang telah didukung oleh universitas.,Tentang chatbot dan sapaan
Apa jenis informasi yang dapat saya dapatkan dari Fluent Chatbot?,"Fluent Chatbot menyediakan informasi tentang jadwal kuliah, pendaftaran mahasiswa baru, beasiswa, kegiatan kampus, dosen, kurikulum, dan banyak lagi.",Tentang chatbot dan sapaan
Bagaimana cara mendaftar sebagai mahasiswa baru di Fakultas Ilmu Komputer UB?,"Informasi lengkap mengenai pendaftaran sebagai mahasiswa baru dapat ditemukan melalui Fluent Chatbot, termasuk langkah-langkahnya.",Tentang chatbot dan sapaan
Apakah Fluent Chatbot memberikan informasi tentang beasiswa?,"Fluent Chatbot menyediakan informasi tentang beasiswa yang tersedia di FILKOM UB, persyaratan, dan cara mengajukannya.",Tentang chatbot dan sapaan
Bagaimana cara menghubungi pihak administrasi di FILKOM UB?,Anda dapat mengetahui cara menghubungi pihak administrasi di FILKOM UB melalui Fluent Chatbot.,Tentang chatbot dan sapaan
Bisakah saya mendapatkan jadwal kuliah melalui Fluent Chatbot?,Fluent Chatbot dapat memberikan informasi terkini mengenai jadwal kuliah di FILKOM UB.,Tentang chatbot dan sapaan
Apakah Fluent Chatbot dapat membantu saya mencari informasi tentang dosen di FILKOM UB?,"Anda dapat menggunakan Fluent Chatbot untuk mencari informasi tentang dosen, penelitian mereka, dan kegiatan akademis lainnya.",Tentang chatbot dan sapaan
Bagaimana cara mengajukan pertanyaan lebih lanjut kepada Fluent Chatbot?,Anda dapat mengajukan pertanyaan lebih lanjut dengan mengetikkannya di kotak obrolan ,Tentang chatbot dan sapaan
Apakah Fluent Chatbot memberikan informasi tentang acara dan kegiatan kampus?,"Fluent Chatbot menyediakan informasi lengkap tentang berbagai acara dan kegiatan kampus di FILKOM UB. Anda dapat menanyakan jadwal acara, deskripsi kegiatan, dan informasi terkait lainnya.",Tentang chatbot dan sapaan
Apakah Fluent Chatbot dapat membantu saya memahami kurikulum program studi di FILKOM UB?,"Fluent Chatbot dapat memberikan informasi rinci mengenai kurikulum program studi di FILKOM UB, termasuk daftar mata kuliah, struktur kurikulum, dan persyaratan kelulusan.",Tentang chatbot dan sapaan
